	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																																
TIGR03137	6.144289616	2.982291308	1.555968048	1.916679016	0.055278723	0.999533006	Cellular processes	Adaptations to atypical conditions	AhpC	peroxiredoxin	ahpC	1.11.1.15	"This peroxiredoxin (AhpC, alkylhydroperoxide reductase subunit C) is one subunit of a two-subunit complex with subunit F(TIGR03140). This gene contains two invariant cysteine residues, one near the N-terminus and one near the C-terminus, each followed immediately by a proline residue."																									
TIGR00475	7.90923431	-1.27574017	1.821184767	-0.700500132	0.483615023	0.999533006	Protein synthesis	Translation factors	selB	selenocysteine-specific elongation factor SelB	selB	NA	"In prokaryotes, the incorporation of selenocysteine as the 21st amino acid, encoded by TGA, requires several elements: SelC is the tRNA itself, SelD acts as a donor of reduced selenium, SelA modifies a serine residue on SelC into selenocysteine, and SelB is a selenocysteine-specific translation elongation factor. 3-prime or 5-prime non-coding elements of mRNA have been found as probable structures for directing selenocysteine incorporation. This HMM describes the elongation factor SelB, a close homolog rf EF-Tu. It may function by replacing EF-Tu. A C-terminal domain not found in EF-Tu is in all SelB sequences in the seed alignment except that from Methanococcus jannaschii. This model does not find an equivalent protein for eukaryotes."																									
TIGR01051	13.12062217	-0.991511285	1.350962201	-0.733929702	0.462991584	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	topA_bact	"DNA topoisomerase I, bacterial"	topA	5.99.1.2	This model describes DNA topoisomerase I among the																									
TIGR00759	17.44383586	-0.293947927	1.069307297	-0.274895652	0.783396408	0.999533006	NA	NA	aceE	"pyruvate dehydrogenase E1 component, homodimeric type"	aceE	1.2.4.1	"Most members of this family are pyruvate dehydrogenase complex, E1 component. Note: this family was classified as subfamily rather than equivalog because it includes a counterexample from Pseudomonas putida, MdeB, that is active as an E1 component of an alpha-ketoglutarate dehydrogenase complex rather than a pyruvate dehydrogase complex. The second pyruvate dehydrogenase complex E1 protein from Alcaligenes eutrophus, PdhE, complements an aceE mutant of E. coli but is not part of a pyruvate dehydrogenase complex operon, is more similar to the Pseudomonas putida MdeB than to E. coli AceE, and may have also have a different primary specificity."																									
TIGR03670	8.540687128	-1.46076286	1.799270672	-0.811863875	0.416869745	0.999533006	NA	NA	rpoB_arch	DNA-directed RNA polymerase subunit B	rpoB	2.7.7.6	This model represents the archaeal version of DNA-directed RNA polymerase subunit B (rpoB) and is observed in all archaeal genomes.																									
TIGR00118	12.35584196	-0.193786781	1.238244307	-0.156501249	0.875637935	0.999533006	Amino acid biosynthesis	Pyruvate family	acolac_lg	"acetolactate synthase, large subunit, biosynthetic type"	ilvB	2.2.1.6	"Two groups of proteins form acetolactate from two molecules of pyruvate. The type of acetolactate synthase described in this model also catalyzes the formation of acetohydroxybutyrate from pyruvate and 2-oxobutyrate, an early step in the branched chain amino acid biosynthesis; it is therefore also termed In bacteria, this catalytic chain is associated with a smaller regulatory chain in an alpha2/beta2 heterotetramer.  Acetolactate synthase is a thiamine pyrophosphate enzyme. In this type, FAD and Mg++ are also found. Several isozymes of this enzyme are found in E. coli K12, one of which contains a frameshift in the large subunit gene and is not expressed."																									
TIGR03005	7.761999135	-0.094894709	1.591360445	-0.059631185	0.952449381	0.999533006	NA	NA	ectoine_ehuA	"ectoine/hydroxyectoine ABC transporter, ATP-binding protein"	ehuA	NA	"Members of this family are the ATP-binding protein of a conserved four gene ABC transporter operon found next to ectoine unilization operons and ectoine biosynthesis operons. Ectoine is a compatible solute that protects enzymes from high osmolarity. It is released by some species in response to hypoosmotic shock, and it is taken up by a number of bacteria as a compatible solute or for consumption. This family shows strong sequence similiarity to a number of amino acid ABC transporter ATP-binding proteins."																									
TIGR03419	4.299460332	1.156476271	1.819523161	0.635593047	0.525041702	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	NifU_clost	"FeS cluster assembly scaffold protein NifU, Clostridium type"	nifU	NA	"NifU and NifS form a pair of iron-sulfur (FeS) cluster biosynthesis proteins much simpler than the ISC and SUF systems. Members of this protein family are a distinct group of NifU-like proteins, found always to a NifS-like protein and restricted to species that lack a SUF system. Typically, NIF systems service a smaller number of FeS-containing proteins than do ISC or SUF. Members of this particular branch typically are found, almost half the time, near the mnmA gene, involved in the carboxymethylaminomethyl modification of U34 in some tRNAs (see GenProp0704). While other NifU proteins are associated with nitrogen fixation, this family is not."																									
TIGR00988	6.062121304	2.049305727	1.590960908	1.288093074	0.197713566	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	hip	"integration host factor, beta subunit"	ihfB	NA	This protein forms a site-specific DNA-binding heterodimer with the homologous integration host factor alpha subunit. It is closely related to the DNA-binding protein HU.																									
TIGR01055	4.927623622	-3.356604414	2.527532812	-1.328016158	0.184172769	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	parE_Gneg	"DNA topoisomerase IV, B subunit, proteobacterial"	parE	5.99.1.-	"Operationally, topoisomerase IV is a type II topoisomerase required for the decatenation of chromosome segregation. Not every bacterium has both a topo II and a topo IV. The topo IV families of the Gram-positive bacteria and the Gram-negative bacteria appear not to represent a single clade among the type II topoisomerases, and are represented by separate models for this reason. This protein is active as an alpha(2)beta(2) heterotetramer."																									
TIGR01350	8.986175274	-1.5182389	1.782284861	-0.851849743	0.394297494	0.999533006	NA	NA	lipoamide_DH	dihydrolipoamide dehydrogenase	lpdA	1.8.1.4	"This HMM describes dihydrolipoamide dehydrogenase, a flavoprotein that acts in a number of ways. It is the E3 component of dehydrogenase complexes for pyruvate, 2-oxoglutarate, 2-oxoisovalerate, and acetoin. It can also serve as the L protein of the glycine cleavage system. This family includes a few members known to have distinct functions (ferric leghemoglobin reductase and NADH:ferredoxin oxidoreductase) but that may be predicted by homology to act as dihydrolipoamide dehydrogenase as well. The motif GGXCXXXGCXP near the N-terminus contains a redox-active disulfide."																									
TIGR00621	6.669333364	0.966660042	1.553338126	0.622311412	0.533737119	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	ssb	single stranded DNA-binding protein (ssb)	ssb	NA	"All proteins in this family for which functions are known are single-stranded DNA binding proteins that function in many processes including transcription, repair, replication and recombination. Members encoded between genes for ribosomal proteins S6 and S18 should be annotated as primosomal protein N (PriB). Forms in gamma-protoeobacteria are much shorter and poorly recognized by this model. Additional members of this family include phage proteins. Eukaryotic members are organellar proteins."																									
TIGR00959	10.26693903	-0.589976614	1.425598586	-0.413844837	0.678987745	0.999533006	Protein fate	Protein and peptide secretion and trafficking	ffh	signal recognition particle protein	ffh	NA	"This model represents Ffh (Fifty-Four Homolog), the protein component that forms the bacterial (and organellar) signal recognition particle together with a 4.5S RNA. Ffh is a GTPase homologous to eukaryotic SRP54 and also to the GTPase FtsY (TIGR00064) that is the receptor for the signal recognition particle."																									
TIGR03719	12.36916648	-0.206491252	1.246957622	-0.165596046	0.868474859	0.999533006	NA	NA	ABC_ABC_ChvD	"ATP-binding cassette protein, ChvD family"	NA	NA	"Members of this protein family have two copies of the ABC transporter ATP-binding cassette, but are found outside the common ABC transporter operon structure that features integral membrane permease proteins and substrate-binding proteins encoded next to the ATP-binding cassette (ABC domain) protein. The member protein ChvD from Agrobacterium tumefaciens was identified as both a candidate to interact with VirB8, based on yeast two-hybrid analysis, and as an apparent regulator of VirG. The general function of this protein family is unknown."																									
TIGR00390	9.696136041	0.854807164	1.276436178	0.669682652	0.503060113	0.999533006	Protein fate	Protein folding and stabilization	hslU	"ATP-dependent protease HslVU, ATPase subunit"	hslU	NA	"This model represents the ATPase subunit of HslVU, while the proteasome-related peptidase subunit is HslV. Residues 54-61 of the model contain a P-loop ATP-binding motif. Cys-287 of E. coli (position 308 in the seed alignment), studied in MEDLINE:98389714, is Ser in other members of the seed alignment."																									
TIGR01963	8.782831875	-1.426850907	1.804462741	-0.79073448	0.429098951	0.999533006	NA	NA	PHB_DH	3-hydroxybutyrate dehydrogenase	NA	NA	"This HMM represents a subfamily of the short chain dehydrogenases. Characterized members so far as 3-hydroxybutyrate dehydrogenases and are found in species that accumulate ester polmers called polyhydroxyalkanoic acids (PHAs) under certain conditions. Several members of the family are from species not known to accumulate PHAs, including Oceanobacillus iheyensis and Bacillus subtilis. However, polymer formation is not required for there be a role for 3-hydroxybutyrate dehydrogenase; it may be members of this family have the same function in those species."																									
TIGR03403	5.676300185	2.323412718	1.70343257	1.363959314	0.172580371	0.999533006	NA	NA	nifS_epsilon	"cysteine desulfurase, NifS family, epsilon proteobacteria type"	nifS	2.8.1.7	"Members of this family are the NifS-like cysteine desulfurase of the epsilon division of the Proteobacteria, similar to the NifS protein of nitrogen-fixing bacteria. Like NifS, and unlike IscS, this protein is found as part of a system of just two proteins, a cysteine desulfurase and a scaffold, for iron-sulfur cluster biosynthesis. This protein is called NifS by Olsen, et al. (PMID:11123951), so we use this designation."																									
TIGR03375	9.866541314	0.275819461	1.314317061	0.209857628	0.833778794	0.999533006	Protein fate	Protein and peptide secretion and trafficking	type_I_sec_LssB	"type I secretion system ATPase, LssB family"	NA	NA	"Type I protein secretion is a system in some Gram-negative bacteria to export proteins (often proteases) across both inner and outer membranes to the extracellular medium. This is one of three proteins of the type I secretion apparatus. Targeted proteins are not cleaved at the N-terminus, but rather carry signals located toward the extreme C-terminus to direct type I secretion. This model is related to models TIGR01842 and TIGR01846, and to bacteriocin ABC transporters that cleave their substrates during export."																									
TIGR04056	1.943982481	4.720250717	2.723037598	1.733450438	0.083015639	0.999533006	Transport and binding proteins	Unknown substrate	OMP_RagA_SusC	"TonB-linked outer membrane protein, SusC/RagA family"	NA	NA	"This model describes a distinctive clade among the TonB-linked outer membrane proteins (OMP). Members of this family are restricted to the Bacteriodetes lineage (except for Gemmatimonas aurantiaca T-27 from the novel phylum Gemmatimonadetes) and occur in high copy numbers, with over 100 members from Bacteroides thetaiotaomicron VPI-5482 alone. Published descriptions of members of this family are available for RagA from Porphyromonas gingivalis, SusC from Bacteroides thetaiotaomicron, and OmpW from Bacteroides caccae. Members form pairs with members of the SusD/RagB family (PF07980). Transporter complexes including these outer membrane proteins are likely to import large degradation products of proteins (e.g. RagA) or carbohydrates (e.g. SusC) as nutrients, rather than siderophores."																									
TIGR01978	9.402518228	0.301750327	1.340427729	0.225114955	0.821889848	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufC	FeS assembly ATPase SufC	sufC	NA	"SufC is part of the SUF system, shown in E. coli to consist of six proteins and believed to act in Fe-S cluster formation during oxidative stress. SufC forms a complex with SufB and SufD. SufC belongs to the ATP-binding cassette transporter family (PF00005) but is no longer thought to be part of a transporter. The complex is reported as cytosolic (PMID:12554644) or associated with the membrane (PMID:11943156). The SUF system also includes a cysteine desulfurase (SufS, enhanced by SufE) and a probable iron-sulfur cluster assembly scaffold protein, SufA."																									
TIGR01136	8.865677004	-1.489371056	1.791163904	-0.8315102	0.405685469	0.999533006	Amino acid biosynthesis	Serine family	cysKM	cysteine synthase	NA	"This model discriminates cysteine synthases (EC 2.5.1.47) (both CysK and CysM) from cystathionine beta-synthase, a protein found primarily in eukaryotes and carrying a C-terminal CBS domain lacking from this protein. Bacterial proteins lacking the CBS domain but otherwise showing resemblamnce to cystathionine beta-synthases and considerable phylogenetic distance from known cysteine synthases were excluded from the seed and score below the trusted cutoff."	"This model discriminates cysteine synthases (EC 2.5.1.47) (both CysK and CysM) from cystathionine beta-synthase, a protein found primarily in eukaryotes and carrying a C-terminal CBS domain lacking from this protein. Bacterial proteins lacking the CBS domain but otherwise showing resemblamnce to cystathionine beta-synthases and considerable phylogenetic distance from known cysteine synthases were excluded from the seed and score below the trusted cutoff."																									
TIGR01962	8.847637467	-0.429713868	1.554271291	-0.276472885	0.782184883	0.999533006	Energy metabolism	Electron transport	NuoD	"NADH dehydrogenase I, D subunit"	nuoD	1.6.99.5	"This model recognizes specificially the D subunit of NADH dehydrogenase I complex. It excludes the related chain of NAD(P)H-quinone oxidoreductases from chloroplast and Synechocystis, where the quinone may be plastoquinone rather than ubiquinone. This subunit often appears as a C/D fusion."																									
TIGR00225	3.762627112	-2.953885704	2.624167142	-1.125646937	0.260314993	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	prc	C-terminal peptidase (prc)	NA	3.4.21.-	A C-terminal peptidase with different substrates in different species including processing of D1 protein of the photosystem II reaction center in higher plants and cleavage of a peptide of 11 residues from the precursor form of penicillin-binding protein in E.coli E.coli and H influenza have the most distal branch of the tree and their proteins have an N-terminal 200 amino acids that show no homology to other proteins in the database.																									
TIGR02000	3.787930526	1.381906466	1.984027546	0.696515766	0.486105887	0.999533006	Central intermediary metabolism	Nitrogen fixation	NifU_proper	Fe-S cluster assembly protein NifU	nifU	NA	"Three different but partially homologous Fe-S cluster assembly systems have been described: Isc, Suf, and Nif. The latter is associated with donation of an Fe-S cluster to nitrogenase in a number of nitrogen-fixing species. NifU, described here, consists of an N-terminal domain (PF01592) and a C-terminal domain (PF01106). Homologs with an equivalent domain archictecture from Helicobacter and Campylobacter, however, are excluded from this model by a high trusted cutoff. The model, therefore, is specific for NifU involved in nitrogenase maturation. The related model TIGR01999 homologous to the N-terminus of this model describes IscU from the Isc system as in E. coli, Saccharomyces cerevisiae, and Homo sapiens."																									
TIGR01953	3.714451578	-0.106782113	2.183864584	-0.048895941	0.961002224	0.999533006	Transcription	Transcription factors	NusA	transcription termination factor NusA	nusA	NA	"This HMM describes NusA, or N utilization substance protein A, a bacterial transcription termination factor. It binds to RNA polymerase alpha subunit and promotes termination at certain RNA hairpin structures. It is named for the interaction in E. coli of phage lambda antitermination protein N with the N-utilization substance, consisting of NusA, NusB, NusE (ribosomal protein S10), and nusG. This model represents a region of NusA shared in all bacterial forms, and including an S1 (PF00575) and a KH (PF00013) RNA binding domains. Proteobacterial forms have an additional C-terminal region, not included in this model, with two repeats of 50-residue domain rich in acidic amino acids."																									
TIGR01780	9.574756531	-1.658309144	1.805133566	-0.918662848	0.358271948	0.999533006	Central intermediary metabolism	Other	SSADH	succinate-semialdehyde dehydrogenase	NA	"Succinic semialdehyde dehydrogenase is one of three enzymes constituting 4-aminobutyrate (GABA) degradation in both prokaryotes and eukaryotes, catalyzing the (NAD(P)+)-dependent catabolism reaction of succinic semialdehyde to succinate for metabolism by the citric acid cycle. The EC number depends on the cofactor: 1.2.1.24 for NAD only, 1.2.1.79 for NADP only, and 1.2.1.16 if both can be used."	"Succinic semialdehyde dehydrogenase is one of three enzymes constituting 4-aminobutyrate (GABA) degradation in both prokaryotes and eukaryotes, catalyzing the (NAD(P)+)-dependent catabolism reaction of succinic semialdehyde to succinate for metabolism by the citric acid cycle. The EC number depends on the cofactor: 1.2.1.24 for NAD only, 1.2.1.79 for NADP only, and 1.2.1.16 if both can be used. In Escherichia coli, succinic semialdehyde dehydrogenase is located in an unidirectionally transcribed gene cluster encoding enzymes for GABA degradation and is suggested to be cotranscribed with succinic semialdehyde transaminase from a common promoter upstream of SSADH [1]. Similar gene arrangements can be found in characterized Ralstonia eutropha [2] and the genome analysis of Bacillus subtilis. Prokaryotic succinic semialdehyde dehydrogenases (1.2.1.16) share high sequence homology to characterized succinic semialdehyde dehydrogenases from rat and human (1.2.1.24), exhibiting conservation of proposed cofactor binding residues, and putative active sites (G-237 & G-242, C-293 & G-259 respectively of rat SSADH) [3]. Eukaryotic SSADH enzymes exclusively utilize NAD+ as a cofactor, exhibiting little to no NADP+ activity [4]. While a NADP+ preference has been detected in prokaryotes in addition to both NADP+- and NAD+-dependencies as in E.coli, Pseudomonas, and Klebsiella pneumoniae [2]. The function of this alternative SSADH currently is unknown, but has been suggested to play a possible role in 4-hydroxyphenylacetic degradation [2]. Just outside the scope of this model, are several sequences belonging to clades scoring between trusted and noise. These sequences may be actual SSADH enzymes, but lack sufficiently close characterized homologs to make a definitive assignment at this time. SSADH enzyme belongs to the aldehyde dehydrogenase family (PF00171), sharing a common evolutionary origin and enzymatic mechanism with lactaldehyde dehydrogenase [5]. Like in lactaldehyde dehydrogenase and succinate semialdehyde dehydrogenase, the mammalian catalytic glutamic acid and cysteine residues are conserved in all the enzymes of this family (PS00687, PS00070)."																									
TIGR02802	5.084027555	-3.227527886	2.48739833	-1.297551682	0.194441435	0.999533006	NA	NA	Pal_lipo	peptidoglycan-associated lipoprotein	pal	NA	"Members of this protein are Pal (also called OprL), the Peptidoglycan-Associated Lipoprotein of the Tol-Pal system. The system appears to be involved both in the maintenance of outer membrane integrity and in the import of certain organic molecules as nutrients. Members of this family contain a hydrodrophobic lipoprotein signal sequence, a conserved N-terminal cleavage and modification site, a poorly conserved low-complexity region, together comprising about 65 amino acids, and a well-conserved C-terminal domain. The seed alignment for this model includes only the conserved C-terminal domain."																									
TIGR01341	13.64374502	-1.09857509	1.34817553	-0.814860577	0.415152121	0.999533006	Energy metabolism	TCA cycle	aconitase_1	aconitate hydratase 1	acnA	4.2.1.3	"This HMM represents one form of the TCA cycle enzyme aconitate hydratase, also known as aconitase and citrate hydro-lyase. It is found in bacteria, archaea, and eukaryotic cytosol. It has been shown to act also as an iron-responsive element binding protein in animals and may have the same role in other eukaryotes."																									
TIGR03216	10.57232331	-1.759157835	1.77148001	-0.993044136	0.320688446	0.999533006	Energy metabolism	Other	OH_muco_semi_DH	2-hydroxymuconic semialdehyde dehydrogenase	NA	1.2.1.-	"Members of this protein family are 2-hydroxymuconic semialdehyde dehydrogenase. Many aromatic compounds are catabolized by way of the catechol, via the meta-cleavage pathway, to pyruvate and acetyl-CoA. This enzyme performs the second of seven steps in that pathway for catechol degradation."																									
TIGR01135	6.482974851	-1.015630534	1.899486985	-0.534686756	0.592866481	0.999533006	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glmS	glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	glmS	2.6.1.16	The member from Methanococcus jannaschii contains an intein.																									
TIGR02203	9.140091064	0.35240931	1.355716783	0.259943164	0.794907615	0.999533006	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	MsbA_lipidA	lipid A export permease/ATP-binding protein MsbA	msbA	NA	"This family consists of a single polypeptide chain transporter in the ATP-binding cassette (ABC) transporter family, MsbA, which exports lipid A. It may also act in multidrug resistance. Lipid A, a part of lipopolysaccharide, is found in the outer leaflet of the outer membrane of most Gram-negative bacteria. Members of this family are restricted to the Proteobacteria (although lipid A is more broadly distributed) and often are clustered with lipid A biosynthesis genes."																									
TIGR04520	3.904556006	-2.980750928	2.696320205	-1.105488481	0.268947983	0.999533006	Transport and binding proteins	Unknown substrate	ECF_ATPase_1	energy-coupling factor transporter ATPase	NA	3.6.3.-	"Members of this family are ATP-binding cassette (ABC) proteins by homology, but belong to energy coupling factor (ECF) transport systems. The architecture in general is two ATPase subunits (or a double-length fusion protein), a T component, and a substrate capture (S) component that is highly variable, and may be interchangeable in genomes with only one T component. This model identifies many but not examples of the upstream member of the pair of ECF ATPases in Firmicutes and Mollicutes."																									
TIGR00198	15.2745121	-1.317046568	1.347264796	-0.977570684	0.328286702	0.999533006	Cellular processes	Detoxification	cat_per_HPI	catalase/peroxidase HPI	katG	1.11.1.6	"As catalase, this enzyme catalyzes the dismutation of two molecules of hydrogen peroxide to dioxygen and two molecules of water. As a peroxidase, it uses hydrogen peroxide to oxidize donor compounds and produce water. KatG from E. coli is a homotetramer with two non-covalently associated iron protoheme IX groups per tetramer, but the ortholog from Synechococcus sp. is a homodimer with one protoheme. Important sites (numbered according to E. coli KatG) include heme ligands His-106 and His-267 and active site Trp-318. Note that the translation PID:g296476 from accession X71420 from Rhodobacter capsulatus B10 contains extensive frameshift differences from the rest of the orthologous family."																									
TIGR00418	9.257291802	-1.550296223	1.778217047	-0.871826207	0.383303195	0.999533006	Protein synthesis	tRNA aminoacylation	thrS	threonyl-tRNA synthetase	thrS	6.1.1.3	"This HMM represents the threonyl-tRNA synthetase found in most organisms. This protein is a class II tRNA synthetase, and is recognized by the pfam HMM tRNA-synt_2b. Note that B. subtilis has closely related isozymes thrS and thrZ. The N-terminal regions are quite dissimilar between archaeal and eubacterial forms, while some eukaryotic forms are missing sequence there altogether. ."																									
TIGR02948	7.546220457	2.194664014	1.433360112	1.531132334	0.12573669	0.999533006	NA	NA	SigW_bacill	RNA polymerase sigma-W factor	sigW	NA	This sigma factor is restricted to certain lineages of the order Bacillales.																									
TIGR01139	7.695470077	-1.268425683	1.837463978	-0.690313224	0.489997234	0.999533006	Amino acid biosynthesis	Serine family	cysK	cysteine synthase A	cysK	2.5.1.47	This model distinguishes cysteine synthase A (CysK) from cysteine synthase B (CysM). CysM differs in having a broader specificity that also allows the use of thiosulfate to produce cysteine thiosulfonate.																									
TIGR00514	6.759978613	-3.74188293	2.37550615	-1.575193956	0.115211682	0.999533006	Fatty acid and phospholipid metabolism	Biosynthesis	accC	"acetyl-CoA carboxylase, biotin carboxylase subunit"	accC	6.3.4.14	"This model represents the biotin carboxylase subunit found usually as a component of acetyl-CoA carboxylase. Acetyl-CoA carboxylase is designated EC 6.4.1.2 and this component, biotin carboxylase, has its own designation, EC 6.3.4.14. Homologous domains are found in eukaryotic forms of acetyl-CoA carboxylase and in a number of other carboxylases (e.g. pyruvate carboxylase), but seed members and trusted cutoff are selected so as to exclude these. In some systems, the biotin carboxyl carrier protein and this protein (biotin carboxylase) may be shared by different carboxyltransferases. However, this model is not intended to identify the biotin carboxylase domain of propionyl-coA carboxylase. The model should hit the full length of proteins, except for chloroplast transit peptides in plants. If it hits a domain only of a longer protein, there may be a problem with the identification."																									
TIGR01126	10.22967973	0.764866939	1.240512683	0.616573252	0.537516242	0.999533006	Protein fate	Protein folding and stabilization	pdi_dom	protein disulfide-isomerase domain	NA	NA	"This HMM describes a domain of eukaryotic protein disulfide isomerases, generally found in two copies. The high cutoff for total score reflects the expectation of finding both copies. The domain is similar to thioredoxin but the redox-active disulfide region motif is APWCGHCK."																									
TIGR01369	11.89702929	-0.133715894	1.252785066	-0.106734904	0.914999291	0.999533006	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	CPSaseII_lrg	"carbamoyl-phosphate synthase, large subunit"	carB	6.3.5.5; EXCEPTION; SP|P31327; EC 6.3.4.16; Homo sapiens	"Carbamoyl-phosphate synthase (CPSase) catalyzes the first committed step in pyrimidine, arginine, and urea biosynthesis. In general, it is a glutamine-dependent enzyme, EC 6.3.5.5, termed CPSase II in eukaryotes. An exception is the mammalian mitochondrial urea-cycle form, CPSase I, in which the glutamine amidotransferase domain active site Cys on the small subunit has been lost, and the enzyme is ammonia-dependent. In both CPSase I and the closely related, glutamine-dependent CPSase III (allosterically activated by acetyl-glutamate) demonstrated in some other vertebrates, the small and large chain regions are fused in a single polypeptide chain. This HMM represents the large chain of glutamine-hydrolysing carbamoyl-phosphate synthases, or the corresponding regions of larger, multifunctional proteins, as found in all domains of life, and CPSase I forms are considered exceptions within the family. In several thermophilic species (Methanobacterium thermoautotrophicum, Methanococcus jannaschii, Aquifex aeolicus), the large subunit appears split, at different points, into two separate genes."																									
TIGR00038	7.967657265	-0.146706509	1.530391917	-0.095862052	0.923630134	0.999533006	Protein synthesis	Translation factors	efp	translation elongation factor P	efp	NA	"function: involved in peptide bond synthesis. stimulate efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (by similarity). The trusted cutoff of this model is set high enough to exclude members of TIGR02178, an EFP-like protein of certain Gammaproteobacteria."																									
TIGR02082	11.60544893	1.012224288	1.160780829	0.872020163	0.383197378	0.999533006	Amino acid biosynthesis	Aspartate family	metH	5-methyltetrahydrofolate--homocysteine methyltransferase	metH	"S-methyltransferase (MetE, EC 2.1.1.14, the cobalamin-independent methionine synthase) and betaine-homocysteine methyltransferase."	"This family represents 5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), one of at least three different enzymes able to convert homocysteine to methionine by transferring a methyl group on to the sulfur atom. It is also called the vitamin B12(or cobalamine)-dependent methionine synthase. Other methionine synthases include 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (MetE, EC 2.1.1.14, the cobalamin-independent methionine synthase) and betaine-homocysteine methyltransferase."																									
TIGR01016	6.394250491	0.233693028	1.622848956	0.144001712	0.885499118	0.999533006	Energy metabolism	TCA cycle	sucCoAbeta	"succinyl-CoA synthetase, beta subunit"	sucC	6.2.1.-	"This model is designated subfamily because it does not discriminate the ADP-forming enzyme ((EC 6.2.1.5) from the GDP_forming (EC 6.2.1.4) enzyme. The N-terminal half is described by the CoA-ligases HMM (PF00549). The C-terminal half is described by the ATP-grasp HMM (PF02222). This family contains a split seen both in a maximum parsimony tree (which ignores gaps) and in the gap pattern near position 85 of the seed alignment. Eukaryotic and most bacterial sequences are longer and contain a region similar to TXQTXXXG. Sequences from Deinococcus radiodurans, Mycobacterium tuberculosis, Streptomyces coelicolor, and the Archaea are 6 amino acids shorter in that region and contain a motif resembling [KR]G"																									
TIGR02038	7.274797947	0.074537546	1.547283023	0.048173182	0.961578223	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	protease_degS	periplasmic serine pepetdase DegS	degS	3.4.21.-	"This family consists of the periplasmic serine protease DegS (HhoB), a shorter paralog of protease DO (HtrA, DegP) and DegQ (HhoA). It is found in E. coli and several other Proteobacteria of the gamma subdivision. It contains a trypsin domain and a single copy of PDZ domain (in contrast to DegP with two copies). A critical role of this DegS is to sense stress in the periplasm and partially degrade an inhibitor of sigma(E)."																									
TIGR02857	7.882497404	-0.135497151	1.532609151	-0.088409462	0.929551241	0.999533006	NA	NA	CydD	"thiol reductant ABC exporter, CydD subunit"	cydD	NA	"The gene pair cydCD encodes an ABC-family transporter in which each gene contains an N-terminal membrane-spanning domain (PF00664) and a C-terminal ATP-binding domain (PF00005). Unfortunately, the gene symbol nomenclature adopted based on this operon in B. subtilis assigns cydC to the third gene in the operon where this gene is actually homologous to the E. coli cydD gene."																									
TIGR00116	8.715939986	1.172114271	1.30263175	0.899804777	0.368224152	0.999533006	Protein synthesis	Translation factors	tsf	translation elongation factor Ts	tsf	NA	"Translational elongation factor Ts (EF-Ts) catalyzes the exchange of GTP for the GDP of the EF-Tu.GDP complex as part of the cycle of translation elongation. This protein is found in Bacteria, mitochondria, and chloroplasts."																									
TIGR02204	10.34148864	0.713308758	1.2428055	0.573950436	0.566001342	0.999533006	NA	NA	MsbA_rel	"ABC transporter, permease/ATP-binding protein"	NA	NA	This protein is related to a Proteobacterial ATP transporter that exports lipid A and to eukaryotic P-glycoproteins.																									
TIGR03186	14.15633749	-0.412536699	1.201780262	-0.343271322	0.731394354	0.999533006	NA	NA	AKGDH_not_PDH	alpha-ketoglutarate dehydrogenase	mdeB	NA	"Several bacterial species have a paralog to homodimeric form of the pyruvate dehydrogenase E1 component (see model TIGR00759), often encoded next to L-methionine gamma-lyase gene (mdeA). The member from a strain of Pseudomonas putida was shown to act on alpha-ketobutyrate, which is produced by MdeA.This model serves as an exception model to TIGR00759, as other proteins hitting TIGR00759 should be identified as the pyruvate dehydrogenase E1 component."																									
TIGR04416	7.821186768	-1.347740594	1.856607144	-0.725915872	0.467890346	0.999533006	Mobile and extrachromosomal element functions	Other	group_II_RT_mat	group II intron reverse transcriptase/maturase	ltrA	2.7.7.49	"Members of this protein family are multifunctional proteins encoded in most examples of bacterial group II introns. These group II introns are mobile selfish genetic elements, often with multiple highly identical copies per genome. Member proteins have an N-terminal reverse transcriptase (RNA-directed DNA polymerase) domain (PF00078) followed by an RNA-binding maturase domain (PF08388). Some members of this family may have an additional C-terminal DNA endonuclease domain that this model does not cover. A region of the group II intron ribozyme structure should be detectable nearby on the genome by Rfam model RF00029."																									
