	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																															
TIGR02802	267.3746914	0.35554283	0.386249283	0.920500944	0.35731104	0.541452644	NA	NA	Pal_lipo	peptidoglycan-associated lipoprotein	pal	NA	"Members of this protein are Pal (also called OprL), the Peptidoglycan-Associated Lipoprotein of the Tol-Pal system. The system appears to be involved both in the maintenance of outer membrane integrity and in the import of certain organic molecules as nutrients. Members of this family contain a hydrodrophobic lipoprotein signal sequence, a conserved N-terminal cleavage and modification site, a poorly conserved low-complexity region, together comprising about 65 amino acids, and a well-conserved C-terminal domain. The seed alignment for this model includes only the conserved C-terminal domain."																								
TIGR01341	237.2353481	0.46109309	0.15926146	2.895195672	0.003789223	0.017771767	Energy metabolism	TCA cycle	aconitase_1	aconitate hydratase 1	acnA	4.2.1.3	"This HMM represents one form of the TCA cycle enzyme aconitate hydratase, also known as aconitase and citrate hydro-lyase. It is found in bacteria, archaea, and eukaryotic cytosol. It has been shown to act also as an iron-responsive element binding protein in animals and may have the same role in other eukaryotes."																								
TIGR03216	227.4561779	0.651563719	0.316502148	2.058639169	0.039528818	0.110505438	Energy metabolism	Other	OH_muco_semi_DH	2-hydroxymuconic semialdehyde dehydrogenase	NA	1.2.1.-	"Members of this protein family are 2-hydroxymuconic semialdehyde dehydrogenase. Many aromatic compounds are catabolized by way of the catechol, via the meta-cleavage pathway, to pyruvate and acetyl-CoA. This enzyme performs the second of seven steps in that pathway for catechol degradation."																								
TIGR01135	199.5648345	-0.199289989	0.194119184	-1.026637268	0.304591298	0.482836765	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glmS	glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	glmS	2.6.1.16	The member from Methanococcus jannaschii contains an intein.																								
TIGR02203	240.5865039	-0.299172361	0.157613805	-1.898135517	0.057678233	0.14547732	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	MsbA_lipidA	lipid A export permease/ATP-binding protein MsbA	msbA	NA	"This family consists of a single polypeptide chain transporter in the ATP-binding cassette (ABC) transporter family, MsbA, which exports lipid A. It may also act in multidrug resistance. Lipid A, a part of lipopolysaccharide, is found in the outer leaflet of the outer membrane of most Gram-negative bacteria. Members of this family are restricted to the Proteobacteria (although lipid A is more broadly distributed) and often are clustered with lipid A biosynthesis genes."																								
TIGR04520	182.402089	0.082793976	0.30948533	0.267521489	0.789067671	0.890019762	Transport and binding proteins	Unknown substrate	ECF_ATPase_1	energy-coupling factor transporter ATPase	NA	3.6.3.-	"Members of this family are ATP-binding cassette (ABC) proteins by homology, but belong to energy coupling factor (ECF) transport systems. The architecture in general is two ATPase subunits (or a double-length fusion protein), a T component, and a substrate capture (S) component that is highly variable, and may be interchangeable in genomes with only one T component. This model identifies many but not examples of the upstream member of the pair of ECF ATPases in Firmicutes and Mollicutes."																								
TIGR00198	194.6886844	-0.367487401	0.311160121	-1.181023455	0.237593406	0.406739843	Cellular processes	Detoxification	cat_per_HPI	catalase/peroxidase HPI	katG	1.11.1.6	"As catalase, this enzyme catalyzes the dismutation of two molecules of hydrogen peroxide to dioxygen and two molecules of water. As a peroxidase, it uses hydrogen peroxide to oxidize donor compounds and produce water. KatG from E. coli is a homotetramer with two non-covalently associated iron protoheme IX groups per tetramer, but the ortholog from Synechococcus sp. is a homodimer with one protoheme. Important sites (numbered according to E. coli KatG) include heme ligands His-106 and His-267 and active site Trp-318. Note that the translation PID:g296476 from accession X71420 from Rhodobacter capsulatus B10 contains extensive frameshift differences from the rest of the orthologous family."																								
TIGR00418	219.7774074	0.185162031	0.224283205	0.825572431	0.409046679	0.588425832	Protein synthesis	tRNA aminoacylation	thrS	threonyl-tRNA synthetase	thrS	6.1.1.3	"This HMM represents the threonyl-tRNA synthetase found in most organisms. This protein is a class II tRNA synthetase, and is recognized by the pfam HMM tRNA-synt_2b. Note that B. subtilis has closely related isozymes thrS and thrZ. The N-terminal regions are quite dissimilar between archaeal and eubacterial forms, while some eukaryotic forms are missing sequence there altogether. ."																								
TIGR02948	210.9043115	-0.042229266	0.377906559	-0.111745259	0.911025393	0.959894614	NA	NA	SigW_bacill	RNA polymerase sigma-W factor	sigW	NA	This sigma factor is restricted to certain lineages of the order Bacillales.																								
TIGR01139	153.0501007	-0.108067555	0.226717094	-0.476662581	0.633602412	0.774933985	Amino acid biosynthesis	Serine family	cysK	cysteine synthase A	cysK	2.5.1.47	This model distinguishes cysteine synthase A (CysK) from cysteine synthase B (CysM). CysM differs in having a broader specificity that also allows the use of thiosulfate to produce cysteine thiosulfonate.																								
TIGR00514	242.1810022	0.293072257	0.324752219	0.902448821	0.366818497	0.552907031	Fatty acid and phospholipid metabolism	Biosynthesis	accC	"acetyl-CoA carboxylase, biotin carboxylase subunit"	accC	6.3.4.14	"This model represents the biotin carboxylase subunit found usually as a component of acetyl-CoA carboxylase. Acetyl-CoA carboxylase is designated EC 6.4.1.2 and this component, biotin carboxylase, has its own designation, EC 6.3.4.14. Homologous domains are found in eukaryotic forms of acetyl-CoA carboxylase and in a number of other carboxylases (e.g. pyruvate carboxylase), but seed members and trusted cutoff are selected so as to exclude these. In some systems, the biotin carboxyl carrier protein and this protein (biotin carboxylase) may be shared by different carboxyltransferases. However, this model is not intended to identify the biotin carboxylase domain of propionyl-coA carboxylase. The model should hit the full length of proteins, except for chloroplast transit peptides in plants. If it hits a domain only of a longer protein, there may be a problem with the identification."																								
TIGR01126	256.7158628	-0.253325148	0.28475007	-0.889640334	0.373659041	0.558765496	Protein fate	Protein folding and stabilization	pdi_dom	protein disulfide-isomerase domain	NA	NA	"This HMM describes a domain of eukaryotic protein disulfide isomerases, generally found in two copies. The high cutoff for total score reflects the expectation of finding both copies. The domain is similar to thioredoxin but the redox-active disulfide region motif is APWCGHCK."																								
TIGR01369	268.1032551	-0.193572331	0.295262584	-0.65559384	0.51208549	0.680582004	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	CPSaseII_lrg	"carbamoyl-phosphate synthase, large subunit"	carB	6.3.5.5; EXCEPTION; SP|P31327; EC 6.3.4.16; Homo sapiens	"Carbamoyl-phosphate synthase (CPSase) catalyzes the first committed step in pyrimidine, arginine, and urea biosynthesis. In general, it is a glutamine-dependent enzyme, EC 6.3.5.5, termed CPSase II in eukaryotes. An exception is the mammalian mitochondrial urea-cycle form, CPSase I, in which the glutamine amidotransferase domain active site Cys on the small subunit has been lost, and the enzyme is ammonia-dependent. In both CPSase I and the closely related, glutamine-dependent CPSase III (allosterically activated by acetyl-glutamate) demonstrated in some other vertebrates, the small and large chain regions are fused in a single polypeptide chain. This HMM represents the large chain of glutamine-hydrolysing carbamoyl-phosphate synthases, or the corresponding regions of larger, multifunctional proteins, as found in all domains of life, and CPSase I forms are considered exceptions within the family. In several thermophilic species (Methanobacterium thermoautotrophicum, Methanococcus jannaschii, Aquifex aeolicus), the large subunit appears split, at different points, into two separate genes."																								
TIGR00038	205.35387	0.328721387	0.187261857	1.755410271	0.079189157	0.187640277	Protein synthesis	Translation factors	efp	translation elongation factor P	efp	NA	"function: involved in peptide bond synthesis. stimulate efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (by similarity). The trusted cutoff of this model is set high enough to exclude members of TIGR02178, an EFP-like protein of certain Gammaproteobacteria."																								
TIGR02082	249.2267593	-0.120389018	0.179386983	-0.671113458	0.502148254	0.671392434	Amino acid biosynthesis	Aspartate family	metH	5-methyltetrahydrofolate--homocysteine methyltransferase	metH	"S-methyltransferase (MetE, EC 2.1.1.14, the cobalamin-independent methionine synthase) and betaine-homocysteine methyltransferase."	"This family represents 5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), one of at least three different enzymes able to convert homocysteine to methionine by transferring a methyl group on to the sulfur atom. It is also called the vitamin B12(or cobalamine)-dependent methionine synthase. Other methionine synthases include 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (MetE, EC 2.1.1.14, the cobalamin-independent methionine synthase) and betaine-homocysteine methyltransferase."																								
TIGR01016	252.1304003	1.661275864	0.362057516	4.588430815	4.47E-06	8.18E-05	Energy metabolism	TCA cycle	sucCoAbeta	"succinyl-CoA synthetase, beta subunit"	sucC	6.2.1.-	"This model is designated subfamily because it does not discriminate the ADP-forming enzyme ((EC 6.2.1.5) from the GDP_forming (EC 6.2.1.4) enzyme. The N-terminal half is described by the CoA-ligases HMM (PF00549). The C-terminal half is described by the ATP-grasp HMM (PF02222). This family contains a split seen both in a maximum parsimony tree (which ignores gaps) and in the gap pattern near position 85 of the seed alignment. Eukaryotic and most bacterial sequences are longer and contain a region similar to TXQTXXXG. Sequences from Deinococcus radiodurans, Mycobacterium tuberculosis, Streptomyces coelicolor, and the Archaea are 6 amino acids shorter in that region and contain a motif resembling [KR]G"																								
TIGR02038	222.3000076	-0.231438728	0.293318881	-0.78903454	0.430091819	0.60943098	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	protease_degS	periplasmic serine pepetdase DegS	degS	3.4.21.-	"This family consists of the periplasmic serine protease DegS (HhoB), a shorter paralog of protease DO (HtrA, DegP) and DegQ (HhoA). It is found in E. coli and several other Proteobacteria of the gamma subdivision. It contains a trypsin domain and a single copy of PDZ domain (in contrast to DegP with two copies). A critical role of this DegS is to sense stress in the periplasm and partially degrade an inhibitor of sigma(E)."																								
TIGR02857	193.669576	-0.200655296	0.257087449	-0.780494327	0.435099965	0.611186214	NA	NA	CydD	"thiol reductant ABC exporter, CydD subunit"	cydD	NA	"The gene pair cydCD encodes an ABC-family transporter in which each gene contains an N-terminal membrane-spanning domain (PF00664) and a C-terminal ATP-binding domain (PF00005). Unfortunately, the gene symbol nomenclature adopted based on this operon in B. subtilis assigns cydC to the third gene in the operon where this gene is actually homologous to the E. coli cydD gene."																								
TIGR00116	237.3569857	-0.02673606	0.252793245	-0.105762558	0.915770745	0.959894614	Protein synthesis	Translation factors	tsf	translation elongation factor Ts	tsf	NA	"Translational elongation factor Ts (EF-Ts) catalyzes the exchange of GTP for the GDP of the EF-Tu.GDP complex as part of the cycle of translation elongation. This protein is found in Bacteria, mitochondria, and chloroplasts."																								
TIGR02204	223.7594766	-0.325802807	0.156717883	-2.07891277	0.037625369	0.10596723	NA	NA	MsbA_rel	"ABC transporter, permease/ATP-binding protein"	NA	NA	This protein is related to a Proteobacterial ATP transporter that exports lipid A and to eukaryotic P-glycoproteins.																								
TIGR03186	260.4709071	1.380166669	0.407220081	3.389240201	0.000700866	0.004598166	NA	NA	AKGDH_not_PDH	alpha-ketoglutarate dehydrogenase	mdeB	NA	"Several bacterial species have a paralog to homodimeric form of the pyruvate dehydrogenase E1 component (see model TIGR00759), often encoded next to L-methionine gamma-lyase gene (mdeA). The member from a strain of Pseudomonas putida was shown to act on alpha-ketobutyrate, which is produced by MdeA.This model serves as an exception model to TIGR00759, as other proteins hitting TIGR00759 should be identified as the pyruvate dehydrogenase E1 component."																								
TIGR04416	225.7717242	-1.470370185	0.354878543	-4.1433054	3.42E-05	0.000398562	Mobile and extrachromosomal element functions	Other	group_II_RT_mat	group II intron reverse transcriptase/maturase	ltrA	2.7.7.49	"Members of this protein family are multifunctional proteins encoded in most examples of bacterial group II introns. These group II introns are mobile selfish genetic elements, often with multiple highly identical copies per genome. Member proteins have an N-terminal reverse transcriptase (RNA-directed DNA polymerase) domain (PF00078) followed by an RNA-binding maturase domain (PF08388). Some members of this family may have an additional C-terminal DNA endonuclease domain that this model does not cover. A region of the group II intron ribozyme structure should be detectable nearby on the genome by Rfam model RF00029."																								
TIGR04221	217.2495141	-0.036162434	0.166838842	-0.21675069	0.828402642	0.910370659	NA	NA	SecA2_Mycobac	"accessory Sec system translocase SecA2, Actinobacterial type"	secA2	NA	Members of this family are the SecA2 subunit of the Mycobacterial type of accessory secretory system. This family is quite different SecA2 of the Staph/Strep type (TIGR03714).																								
TIGR00465	221.3675467	0.422178625	0.168123294	2.511125111	0.012034704	0.043780092	Amino acid biosynthesis	Pyruvate family	ilvC	ketol-acid reductoisomerase	ilvC	1.1.1.86	This is																								
TIGR00757	199.2721389	0.029667354	0.203247902	0.145966347	0.883947955	0.942047821	Transcription	Degradation of RNA	RNaseEG	"ribonuclease, Rne/Rng family"	NA	3.1.4.-	"This model describes ribonuclease G (formerly CafA, cytoplasmic axial filament protein A), the N-terminal domain of ribonuclease E in which ribonuclease activity resides, and related proteins. In E. coli, both RNase E and RNase G have been shown to play a role in the maturation of the 5 end of 16S RNA.
CC"																								
TIGR01841	105.9555315	1.37580392	0.395428122	3.479276876	0.000502769	0.003797868	NA	NA	phasin	phasin family protein	NA	NA	"This HMM describes a family of small proteins found associated with inclusions in bacterial cells. Most associate with polyhydroxyalkanoate (PHA) inclusions, the most common of which consist of polyhydroxybutyrate (PHB). These are designated granule-associate proteins or phasins; the member from Rhodospirillum rubrum is an activator of polyhydroxybutyrate (PHB) degradation. However, the member from Magnetospirillum sp. AMB-1 is called a magnetic particle membrane-specific GTPase."																								
TIGR02314	159.553616	0.4685205	0.267179361	1.753580436	0.079502426	0.187830081	NA	NA	ABC_MetN	"D-methionine ABC transporter, ATP-binding protein"	metN	3.6.3.-	Members of this family are the ATP-binding protein of the D-methionine ABC transporter complex. Known members belong to the Proteobacteria.																								
TIGR01387	182.1779015	-0.285424988	0.220335248	-1.29541229	0.195178041	0.358438428	Regulatory functions	DNA interactions	cztR_silR_copR	heavy metal response regulator	NA	NA	Members of this family contain a response regulator receiver domain (Pfam:PF00072) and an associated transcriptional regulatory region (Pfam:PF00486). This group is separated phylogenetically from related proteins with similar architecture and contains a number of proteins associated with heavy metal resistance efflux systems																								
TIGR01292	194.1516011	0.012382501	0.198829807	0.062276885	0.950342336	0.977027673	Energy metabolism	Electron transport	TRX_reduct	thioredoxin-disulfide reductase	trxB	1.8.1.9	"This HMM describes thioredoxin-disulfide reductase, a member of the pyridine nucleotide-disulphide oxidoreductases (PFAM:PF00070)."																								
TIGR01346	155.0387085	1.531039213	0.300107047	5.10164365	3.37E-07	9.55E-06	Energy metabolism	TCA cycle	isocit_lyase	isocitrate lyase	aceA	4.1.3.1	"Isocitrate lyase and malate synthase are the enzymes of the glyoxylate shunt, a pathway associated with the TCA cycle."																								
TIGR00500	163.6256255	-0.412251739	0.25161376	-1.638430822	0.101331854	0.229484934	Protein fate	Protein modification and repair	met_pdase_I	"methionine aminopeptidase, type I"	map	3.4.11.18	Methionine aminopeptidase is a cobalt-binding enzyme. Bacterial and organellar examples (type I) differ from eukaroytic and archaeal (type II) examples in lacking a region of approximately 60 amino acids between the 4th and 5th cobalt-binding ligands. This model describes type I. The role of this protein in general is to produce the mature form of cytosolic proteins by removing the N-terminal methionine.																								
TIGR00183	181.1504255	0.930235105	0.235049724	3.957609853	7.57E-05	0.000788288	Energy metabolism	TCA cycle	prok_nadp_idh	"isocitrate dehydrogenase, NADP-dependent, prokaryotic type"	icd	1.1.1.42	"Several NAD- or NADP-dependent dehydrogenases, including 3-isopropylmalate dehydrogenase, tartrate dehydrogenase, and the multimeric forms of isocitrate dehydrogenase, share a nucleotide binding domain unrelated to that of lactate dehydrogenase and its homologs. These enzymes dehydrogenate their substates at a H-C-OH site adjacent to a H-C-COOH site;  Prokaryotic NADP-dependent isocitrate dehydrogenases resemble their NAD-dependent counterparts and 3-isopropylmalate dehydrogenase (an NAD-dependent enzyme) more closely than they resemble eukaryotic NADP-dependent isocitrate dehydrogenases."																								
TIGR01146	245.9852318	0.335395096	0.222695524	1.506070214	0.13204915	0.274485633	Energy metabolism	ATP-proton motive force interconversion	ATPsyn_F1gamma	"ATP synthase, F1 gamma subunit"	atpG	3.6.3.14	This model describes the ATP synthase																								
TIGR00115	202.8782436	0.750521938	0.220491734	3.403855217	0.00066442	0.004410037	Protein fate	Protein folding and stabilization	tig	trigger factor	tig	5.2.1.8	"Trigger factor is a ribosome-associated molecular chaperone and is the first chaperone to interact with nascent polypeptide. Trigger factor can bind at the same time as the signal recognition particle (SRP), but is excluded by the SRP receptor (FtsY). The central domain of trigger factor has peptidyl-prolyl cis/trans isomerase activity. This protein is found in a single copy in virtually every bacterial genome."																								
TIGR00232	264.5538057	0.70091832	0.267457868	2.620668159	0.008775764	0.034346524	Energy metabolism	Pentose phosphate pathway	tktlase_bact	"transketolase, bacterial and yeast"	tkt	2.2.1.1	"This HMM is designed to capture orthologs of bacterial transketolases. The group includes two from the yeast Saccharomyces cerevisiae but excludes dihydroxyactetone synthases (formaldehyde transketolases) from various yeasts and the even more distant mammalian transketolases. Among the family of thiamine diphosphate-dependent enzymes that includes transketolases, dihydroxyacetone synthases, pyruvate dehydrogenase E1-beta subunits, and deoxyxylulose-5-phosphate synthases, mammalian and bacterial transketolases seem not to be orthologous."																								
TIGR01235	208.8566528	0.441908132	0.306368068	1.442409237	0.14918696	0.298637035	Energy metabolism	Glycolysis/gluconeogenesis	pyruv_carbox	pyruvate carboxylase	pyc	6.4.1.1	This enzyme plays a role in gluconeogensis but not glycolysis.																								
TIGR03025	215.172233	-0.901192007	0.239809481	-3.75794987	0.000171311	0.001484261	NA	NA	EPS_sugtrans	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	NA	NA	Members of this family are generally found near other genes involved in the biosynthesis of a variety of exopolysaccharides. Certain closely related transferase enzymes such as Sinorhizobium ExoY [9] and Lactococcus EpsD [10] lack the N-terminal domain and are not found by this model.																								
TIGR01979	157.0446863	-0.034407289	0.207795628	-0.165582351	0.868485638	0.929935093	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufS	"cysteine desulfurases, SufSfamily"	sufS	NA	This model represents a subfamily of NifS-related cysteine desulfurases involved in FeS cluster formation needed for nitrogen fixation among other vital functions. Many cysteine desulfurases are also active as selenocysteine lyase and/or cysteine sulfinate desulfinase. This subfamily is associated with the six-gene SUF system described in E. coli and Erwinia as an FeS cluster formation system during oxidative stress. The active site Cys is this subfamily resembles GHHC with one or both His conserved.																								
TIGR02430	160.4258531	0.600348463	0.21194489	2.832568704	0.004617564	0.020797363	NA	NA	pcaF	3-oxoadipyl-CoA thiolase	pcaF	2.3.1.174	"Members of this family are designated beta-ketoadipyl CoA thiolase, an enzyme that acts at the end of pathways for the degradation of protocatechuate (from benzoate and related compounds) and of phenylacetic acid."																								
TIGR00362	200.8117476	-0.714098726	0.242939729	-2.939406948	0.00328841	0.016157339	DNA metabolism	"DNA replication, recombination, and repair"	DnaA	chromosomal replication initiator protein DnaA	dnaA	NA	"DnaA is involved in DNA biosynthesis; initiation of chromosome replication and can also be transcription regulator. The C-terminal of the family hits the pfam bacterial DnaA (bac_dnaA) domain family. For a review, see Kaguni (2006)."																								
TIGR03900	157.9248282	-0.051917198	0.244996737	-0.211909752	0.832177442	0.910821019	NA	NA	prc_long_Delta	"putative carboxyl-terminal-processing protease, deltaproteobacterial"	NA	3.4.21.-	"This model describes a multidomain protein of about 1070 residues, restricted to the order Myxococcales in the Deltaproteobacteria. Members contain a PDZ domain (PF00595), an S41 family peptidase domain (PF03572), and an SH3 domain (PF06347). A core region of this family, including PDZ and S41 regions, is described by TIGR00225, C-terminal processing peptidase, which recognizes the Prc protease. The species distribution of this family approximates that of largely Deltaproteobacterial C-terminal putative protein-sorting domain, TIGR03901, analogous to LPXTG and PEP-CTERM, but the co-occurrence may reflect shared restriction to the Myxococcales rather than a substrate/target relationship."																								
TIGR02956	198.7438899	-0.99985046	0.230440842	-4.338859602	1.43E-05	0.000206002	Signal transduction	Two-component systems	TMAO_torS	TMAO reductase sytem sensor TorS	torS	2.7.13.3	"This protein, TorS, is part of a regulatory system for the torCAD operon that encodes the pterin molybdenum cofactor-containing enzyme trimethylamine-N-oxide (TMAO) reductase (TorA), a cognate chaperone (TorD), and a penta-haem cytochrome (TorC). TorS works together with the inducer-binding protein TorT and the response regulator TorR. TorS contains histidine kinase ATPase (PF02518), HAMP (PF00672), phosphoacceptor (PF00512), and phosphotransfer (PF01627) domains and a response regulator receiver domain (PF00072)."																								
TIGR01959	214.1750386	-0.293250483	0.194831214	-1.505151441	0.132285146	0.274485633	Energy metabolism	Electron transport	nuoF_fam	"NADH-quinone oxidoreductase, F subunit"	nuoF	1.6.99.5	This HMM describes the F chain of complexes that resemble																								
TIGR01347	268.4878268	0.267481259	0.27568905	0.970228085	0.331932814	0.513274856	Energy metabolism	TCA cycle	sucB	2-oxoglutarate dehydrogenase complex dihydrolipoamide succinyltransferase (E2 component)	sucB	2.3.1.61	"This HMM describes the TCA cycle 2-oxoglutarate system E2 component, dihydrolipoamide succinyltransferase. It is closely related to the pyruvate dehydrogenase E2 component, dihydrolipoamide acetyltransferase. The seed for this model includes mitochondrial and Gram-negative bacterial forms. Mycobacterial candidates are highly derived, differ in having and extra copy of the lipoyl-binding domain at the N-terminus. They score below the trusted cutoff, but above the noise cutoff and above all examples of dihydrolipoamide acetyltransferase."																								
TIGR00691	174.1995469	0.540089029	0.223998253	2.411130538	0.015903155	0.054531968	Cellular processes	Adaptations to atypical conditions	spoT_relA	"(p)ppGpp synthetase, RelA/SpoT family"	NA	"The functions of E. coli RelA and SpoT differ somewhat. RelA (EC 2.7.6.5) produces pppGpp (or ppGpp) from ATP and GTP (or GDP). SpoT (EC 3.1.7.2) degrades ppGpp, but may also act as a secondary ppGpp synthetase. The two proteins are strongly similar. In many species, a single homolog to SpoT and RelA appears reponsible for both ppGpp synthesis and ppGpp degradation."	"The functions of E. coli RelA and SpoT differ somewhat. RelA (EC 2.7.6.5) produces pppGpp (or ppGpp) from ATP and GTP (or GDP). SpoT (EC 3.1.7.2) degrades ppGpp, but may also act as a secondary ppGpp synthetase. The two proteins are strongly similar. In many species, a single homolog to SpoT and RelA appears reponsible for both ppGpp synthesis and ppGpp degradation. (p)ppGpp is a regulatory metabolite of the stringent response, but appears also to be involved in antibiotic biosynthesis in some species."																								
TIGR03673	249.3376146	-0.021326921	0.306944231	-0.069481421	0.944606421	0.976437421	NA	NA	uL14_arch	"50S ribosomal protein uL14, archaeal form"	rpl14p	NA	"Part of the 50S ribosomal subunit. Forms a cluster with proteins L3 and L24e, part of which may contact the 16S rRNA in 2 intersubunit bridges."																								
TIGR00987	158.5285515	0.399760653	0.268673068	1.487907425	0.136775309	0.280044119	DNA metabolism	"DNA replication, recombination, and repair"	himA	"integration host factor, alpha subunit"	ihfA	NA	This protein forms a site-specific DNA-binding heterodimer with the integration host factor beta subunit. It is closely related to the DNA-binding protein HU.																								
TIGR03415	176.7144355	0.854872363	0.255984034	3.339553441	0.000839132	0.005350645	Transport and binding proteins	"Amino acids, peptides and amines"	ABC_choXWV_ATP	"choline ABC transporter, ATP-binding protein"	choV	NA	"Members of this protein family are the ATP-binding subunit of a three-protein transporter. This family belongs, more broadly, to the family of proline and glycine-betaine transporters, but members have been identified by direct characterization and by bioinformatic means as choline transporters. Many species have several closely-related members of this family, probably with variable abilities to act additionally on related quaternary amines."																								
TIGR01019	239.7124986	0.665488095	0.311768354	2.134559478	0.03279701	0.097017854	Energy metabolism	TCA cycle	sucCoAalpha	"succinyl-CoA synthetase, alpha subunit"	sucD	6.2.1.-	This model describes succinyl-CoA synthetase alpha subunits but does not discriminate between GTP-specific and ATP-specific reactions. The model is designated as subfamily rather than equivalog for that reason. ATP citrate lyases appear to form an outgroup.																								
TIGR02339	107.7665607	-0.721864058	0.401452635	-1.798130078	0.072156397	0.173511674	Protein fate	Protein folding and stabilization	thermosome_arch	"thermosome, various subunits, archaeal"	NA	NA	"Thermosome is the name given to the archaeal rather than eukaryotic form of the group II chaperonin (counterpart to the group I chaperonin, GroEL/GroES, in bacterial), a torroidal, ATP-dependent molecular chaperone that assists in the folding or refolding of nascent or denatured proteins. Various homologous subunits, one to five per archaeal genome, may be designated alpha, beta, etc., but phylogenetic analysis does not show distinct alpha subunit and beta subunit lineages traceable to ancient paralogs."																								
TIGR02383	208.2170211	0.693928412	0.343668937	2.019176993	0.043468827	0.118560454	Regulatory functions	Other	Hfq	RNA chaperone Hfq	hfq	NA	"This model represents the RNA-binding pleiotropic regulator Hfq, a small, Sm-like protein of bacteria. It helps pair regulatory noncoding RNAs with complementary mRNA target regions. It enhances the elongation of poly(A) tails on mRNA. It appears also to protect RNase E recognition sites (A/U-rich sequences with adjacent stem-loop structures) from cleavage. Being pleiotropic, it differs in some of its activities in different species. Hfq binds the non-coding regulatory RNA DsrA (see Rfam RF00014) in the few species known to have it: Escherichia coli, Shigella flexneri, Salmonella spp."																								
TIGR01846	194.5440566	-0.351019269	0.181376115	-1.935311438	0.05295209	0.136592322	Protein fate	Protein and peptide secretion and trafficking	type_I_sec_HlyB	"type I secretion system ABC transporter, HlyB family"	NA	NA	"Type I protein secretion is a system in some Gram-negative bacteria to export proteins (often proteases) across both inner and outer membranes to the extracellular medium. This is one of three proteins of the type I secretion apparatus. Targeted proteins are not cleaved at the N-terminus, but rather carry signals located toward the extreme C-terminus to direct type I secretion."																								
TIGR03689	124.391797	0.521676284	0.285601529	1.826587854	0.067761761	0.165396986	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	pup_AAA	proteasome ATPase	arc	3.6.4.8	"In the Actinobacteria, as shown for Mycobacterium tuberculosis, some proteins are modified by ligation between an epsilon-amino group of a lysine side chain and the C-terminal carboxylate of the ubiquitin-like protein Pup. This modification leads to protein degradation by the archaeal-like proteasome found in the Actinobacteria. Members of this protein family belong to the AAA family of ATPases and tend to be clustered with the genes for Pup, the Pup ligase PafA, and structural components of the proteasome. This protein forms hexameric rings with ATPase activity."																								
TIGR02142	152.3394596	0.651403758	0.29012621	2.245242712	0.024752556	0.078619399	Transport and binding proteins	Anions	modC_ABC	"molybdenum ABC transporter, ATP-binding protein"	modC	3.6.3.29	"This HMM represents the ATP-binding cassette (ABC) protein of the three subunit molybdate ABC transporter. The three proteins of this complex are homologous to proteins of the sulfate ABC transporter. Molybdenum may be used in nitrogenases of nitrogen-fixing bacteria and in molybdopterin cofactors. In some cases, molybdate may be transported by a sulfate transporter rather than by a specific molybdate transporter."																								
TIGR03971	206.4331764	-0.217159763	0.413475992	-0.525205254	0.599440513	0.753108365	Unknown function	Enzymes of unknown specificity	SDR_subfam_1	SDR family mycofactocin-dependent oxidoreductase	NA	"Members of this protein subfamily are putative oxidoreductases belonging to the larger SDR family. All members occur in genomes that encode a cassette for the biosynthesis of mycofactocin, a proposed electron carrier of a novel redox pool. Characterized members of this family are described as NDMA-dependent, meaning that a blue aniline dye serving as an artificial electron acceptor is required for members of this family to cycle in vitro, since the bound NAD residue is not exchangeable. See EC 1.1.99.36."	"Members of this protein subfamily are putative oxidoreductases belonging to the larger SDR family. All members occur in genomes that encode a cassette for the biosynthesis of mycofactocin, a proposed electron carrier of a novel redox pool. Characterized members of this family are described as NDMA-dependent, meaning that a blue aniline dye serving as an artificial electron acceptor is required for members of this family to cycle in vitro, since the bound NAD residue is not exchangeable. See EC 1.1.99.36."																								
TIGR01628	114.0391179	-1.113434042	0.354457158	-3.141237285	0.001682357	0.009499875	NA	NA	PABP-1234	"polyadenylate binding protein, human types 1, 2, 3, 4 family"	NA	NA	These eukaryotic proteins recognize the poly-A of mRNA and consists of four tandem RNA recognition domains at the N-terminus (rrm: PF00076) followed by a PABP-specific domain (PF00658) at the C-terminus.																								
